no,device_id,pm25,pm10,temp,humi,reg_date
3547006,D0012,13.6,14.1,16.4,51.6,2023-03-25 14:47:23.427109
3547025,D0012,12.6,13.0,16.4,51.9,2023-03-25 14:48:24.430298
3547044,D0012,13.7,14.3,16.5,51.9,2023-03-25 14:49:24.430093
3547063,D0012,13.2,13.7,16.4,52.9,2023-03-25 14:50:24.440897
3547082,D0012,13.6,14.2,16.4,53.8,2023-03-25 14:51:23.44629
3547101,D0012,13.1,13.5,16.5,52.5,2023-03-25 14:52:23.447199
3547120,D0012,13.6,14.2,16.5,53.7,2023-03-25 14:53:23.469688
3547139,D0012,13.3,13.7,16.5,52.6,2023-03-25 14:54:23.456057
3547158,D0012,13.0,13.2,16.5,52.5,2023-03-25 14:55:24.458942
3547177,D0012,12.8,13.0,16.6,52.8,2023-03-25 14:56:23.475222
3547196,D0012,13.2,13.8,16.4,52.0,2023-03-25 14:57:24.47309
3547215,D0012,12.9,13.1,16.5,52.4,2023-03-25 14:58:24.46504
3547234,D0012,13.1,13.2,16.4,52.4,2023-03-25 14:59:23.468732
3547253,D0012,12.8,13.0,16.5,51.9,2023-03-25 15:00:24.478913
3547272,D0012,12.8,13.0,16.4,51.3,2023-03-25 15:01:23.479021
3547291,D0012,13.8,14.2,16.2,52.6,2023-03-25 15:02:23.488929
3547310,D0012,13.2,13.6,16.2,51.1,2023-03-25 15:03:23.486443
3547329,D0012,13.2,13.8,16.3,51.6,2023-03-25 15:04:24.492511
3547348,D0012,13.3,14.1,16.5,51.9,2023-03-25 15:05:24.49355
3547367,D0012,13.4,14.1,16.6,52.9,2023-03-25 15:06:23.492375
3547386,D0012,13.1,13.8,16.5,52.9,2023-03-25 15:07:23.501108
3547405,D0012,12.8,13.3,16.6,51.7,2023-03-25 15:08:24.502027
3547424,D0012,12.2,12.4,16.6,53.0,2023-03-25 15:09:23.503426
3547443,D0012,13.0,13.3,16.4,52.2,2023-03-25 15:10:23.506701
3547462,D0012,12.9,13.0,16.5,52.7,2023-03-25 15:11:23.519998
3547481,D0012,13.4,13.8,16.6,53.0,2023-03-25 15:12:23.514911
3547500,D0012,13.4,14.0,16.5,52.3,2023-03-25 15:13:24.516452
3547519,D0012,12.8,13.4,16.6,51.8,2023-03-25 15:14:24.524817
3547538,D0012,12.6,13.3,16.7,53.3,2023-03-25 15:15:24.518394
3547557,D0012,13.4,14.0,16.7,51.7,2023-03-25 15:16:24.533234
3547576,D0012,13.2,13.5,16.7,52.8,2023-03-25 15:17:24.524893
3547595,D0012,13.7,13.9,16.5,52.1,2023-03-25 15:18:23.540766
3547614,D0012,12.9,13.2,16.5,52.3,2023-03-25 15:19:24.523976
3547633,D0012,14.2,14.8,16.3,51.4,2023-03-25 15:20:24.527769
3547652,D0012,14.2,15.0,16.5,52.1,2023-03-25 15:21:24.537213
3547671,D0012,11.8,12.3,16.6,52.9,2023-03-25 15:22:23.527245
3547690,D0012,13.0,13.5,16.7,52.1,2023-03-25 15:23:24.531316
3547709,D0012,13.8,14.3,16.5,52.3,2023-03-25 15:24:24.539972
3547728,D0012,12.8,13.2,16.6,51.9,2023-03-25 15:25:24.533391
3547747,D0012,13.0,13.4,16.5,51.9,2023-03-25 15:26:24.550182
3547766,D0012,13.2,13.7,16.6,52.5,2023-03-25 15:27:24.538129
3547785,D0012,13.3,13.5,16.6,53.5,2023-03-25 15:28:24.547455
3547804,D0012,12.9,13.1,16.6,52.5,2023-03-25 15:29:24.54982
3547823,D0012,13.5,13.8,16.6,52.9,2023-03-25 15:30:24.541766
3547842,D0012,12.8,13.3,16.6,51.4,2023-03-25 15:31:24.558508
3547861,D0012,13.5,14.2,16.5,52.4,2023-03-25 15:32:23.557232
3547880,D0012,13.2,13.8,16.4,52.4,2023-03-25 15:33:24.553426
3547899,D0012,13.3,13.5,16.4,51.9,2023-03-25 15:34:24.563601
3547918,D0012,13.7,14.0,16.3,51.6,2023-03-25 15:35:24.561892
3547937,D0012,13.3,14.0,16.3,50.8,2023-03-25 15:36:24.568824
3547956,D0012,13.5,14.1,16.5,52.0,2023-03-25 15:37:23.574781
3547975,D0012,13.6,14.2,16.5,51.2,2023-03-25 15:38:24.570811
3547994,D0012,13.3,13.8,16.6,52.0,2023-03-25 15:39:24.574651
3548013,D0012,13.4,13.8,16.6,52.0,2023-03-25 15:40:24.584407
3548032,D0012,14.1,14.9,16.7,52.4,2023-03-25 15:41:24.591826
3548051,D0012,12.4,13.0,16.8,51.1,2023-03-25 15:42:23.588393
3548070,D0012,12.8,13.3,16.8,51.1,2023-03-25 15:43:24.586153
3548089,D0012,13.8,14.4,16.8,52.7,2023-03-25 15:44:24.583725
3548108,D0012,12.8,13.3,16.7,52.8,2023-03-25 15:45:24.590992
3548127,D0012,13.0,13.4,16.7,51.9,2023-03-25 15:46:24.607303
3548146,D0012,13.2,13.6,16.7,51.2,2023-03-25 15:47:23.596112
3548165,D0012,13.6,14.1,16.7,51.4,2023-03-25 15:48:24.604435
3548184,D0012,13.4,13.7,16.8,53.0,2023-03-25 15:49:24.600495
3548203,D0012,13.4,13.9,16.9,52.6,2023-03-25 15:50:24.6187
3548222,D0012,12.9,13.3,16.7,51.0,2023-03-25 15:51:23.62933
3548241,D0012,12.9,13.3,16.7,52.3,2023-03-25 15:52:24.611637
3548260,D0012,12.0,12.3,16.9,52.1,2023-03-25 15:53:24.613228
3548279,D0012,12.8,13.2,16.9,52.1,2023-03-25 15:54:24.624781
3548298,D0012,13.2,13.6,16.9,51.2,2023-03-25 15:55:24.632601
3548317,D0012,12.7,13.1,16.8,51.0,2023-03-25 15:56:24.64667
3548336,D0012,13.0,13.3,16.8,50.5,2023-03-25 15:57:24.625506
3548355,D0012,13.3,13.7,16.7,51.6,2023-03-25 15:58:24.635446
3548374,D0012,13.1,13.6,16.8,51.1,2023-03-25 15:59:24.634315
3548393,D0012,12.5,12.9,16.9,51.6,2023-03-25 16:00:24.640168
3548412,D0012,12.7,13.3,16.9,50.5,2023-03-25 16:01:23.660777
3548431,D0012,13.2,13.8,16.8,51.1,2023-03-25 16:02:23.643307
3548450,D0012,12.9,13.3,16.8,50.9,2023-03-25 16:03:24.653031
3548469,D0012,13.4,14.0,16.8,51.6,2023-03-25 16:04:24.650814
3548488,D0012,13.4,13.7,16.7,50.6,2023-03-25 16:05:23.655632
3548507,D0012,12.7,12.9,16.6,50.5,2023-03-25 16:06:23.668208
3548526,D0012,13.5,13.8,16.5,51.8,2023-03-25 16:07:24.659922
3548545,D0012,12.3,12.6,16.6,51.6,2023-03-25 16:08:24.663023
3548564,D0012,12.6,12.9,16.6,50.3,2023-03-25 16:09:24.667909
3548583,D0012,12.7,13.1,16.7,50.1,2023-03-25 16:10:24.665943
3548602,D0012,11.7,11.9,16.7,51.0,2023-03-25 16:11:24.689255
3548621,D0012,12.5,12.6,16.7,51.2,2023-03-25 16:12:23.674018
3548640,D0012,12.8,13.3,16.7,51.7,2023-03-25 16:13:23.686523
3548659,D0012,12.9,13.5,16.7,51.7,2023-03-25 16:14:24.687606
3548678,D0012,12.9,13.5,16.7,51.1,2023-03-25 16:15:24.681015
3548697,D0012,13.1,13.7,16.7,51.0,2023-03-25 16:16:24.69517
3548716,D0012,13.6,13.8,16.7,50.4,2023-03-25 16:17:24.68847
