 format: day,hour,value location:81_75 Start : 20230101 
 24, 2000, 36.000000 
 24, 2100, 283.000000 
 24, 2200, 199.000000 
 24, 2300, 111.000000 
 25, 0000, 233.000000 
 25, 0100, 254.000000 
 25, 0200, 305.000000 
 25, 0300, 351.000000 
 25, 0400, 296.000000 
 25, 0500, 275.000000 
 25, 0600, 260.000000 
 25, 0700, 174.000000 
 25, 0800, 187.000000 
 25, 0900, 73.000000 
 25, 1000, 356.000000 
 25, 1100, 0.000000 
 25, 1200, 64.000000 
 25, 1300, 0.000000 
 25, 1400, 359.000000 
 25, 1500, 76.000000 
 25, 1600, 330.000000 
 25, 1700, 61.000000 
 25, 1800, 47.000000 
 25, 1900, 17.000000 
 25, 2000, 66.000000 
 25, 2100, 72.000000 
 25, 2200, 59.000000 
 25, 2300, 78.000000 
 26, 0000, 126.000000 
 26, 0100, 33.000000 
 26, 0200, 270.000000 
 26, 0300, 301.000000 
 26, 0400, 269.000000 
 26, 0500, 150.000000 
 26, 0600, 146.000000 
 26, 0700, 289.000000 
 26, 0800, 221.000000 
 26, 0900, 30.000000 
 26, 1000, 81.000000 
 26, 1100, 60.000000 
 26, 1200, 89.000000 
 26, 1300, 283.000000 
 26, 1400, 311.000000 
 26, 1500, 83.000000 
 26, 1600, 11.000000 
 26, 1700, 73.000000 
 26, 1800, 17.000000 
 26, 1900, 25.000000 
 26, 2000, 355.000000 
 26, 2100, 355.000000 
 26, 2200, 0.000000 
 26, 2300, 355.000000 
 27, 0000, 20.000000 
 27, 0100, 317.000000 
 27, 0200, 327.000000 
 27, 0300, 355.000000 
 27, 0400, 338.000000 
 27, 0500, 327.000000 
 27, 0600, 345.000000 
 27, 0700, 344.000000 
 27, 0800, 353.000000 
 27, 0900, 337.000000 
 27, 1000, 345.000000 
 27, 1100, 354.000000 
 27, 1200, 351.000000 
 27, 1300, 19.000000 
 27, 1400, 15.000000 
 27, 1500, 2.000000 
 27, 1600, 2.000000 
 27, 1700, 348.000000 
 27, 1800, 106.000000 
 27, 1900, 101.000000 
 27, 2000, 93.000000 
 27, 2100, 95.000000 
 27, 2200, 176.000000 
 27, 2300, 41.000000 
 28, 0000, 33.000000 
 28, 0100, 257.000000 
 28, 0200, 248.000000 
 28, 0300, 283.000000 
 28, 0400, 250.000000 
 28, 0500, 274.000000 
 28, 0600, 263.000000 
 28, 0700, 354.000000 
 28, 0800, 227.000000 
 28, 0900, 197.000000 
 28, 1000, 62.000000 
 28, 1100, 85.000000 
 28, 1200, 56.000000 
 28, 1300, 89.000000 
 28, 1400, 15.000000 
 28, 1500, 70.000000 
 28, 1600, 37.000000 
 28, 1700, 0.000000 
 28, 1800, 0.000000 
 28, 1900, 45.000000 
 28, 2000, 0.000000 
 28, 2100, 7.000000 
 28, 2200, 42.000000 
 28, 2300, 216.000000 
